phi1 phi2 depth orientation nfa octave
1.47757 -1.26246 992 1 42.4804 0
1.79007 -1.37965 819 1 40.0483 0
1.82913 -1.49684 867 1 39.3308 0
1.5557 -1.77027 820 1 46.0326 0
1.59476 -1.30152 870 1 43.9872 0
1.43851 -2.1609 821 1 49.8134 0
1.51663 -1.37965 1072 -1 46.6363 0
1.5557 -1.45777 1006 -1 45.781 0
1.32132 -2.23902 1042 -1 40.7482 0
1.32132 -2.35621 1031 -1 42.9033 0
1.67288 -1.77027 953 1 42.9115 0
1.51663 -2.1609 1033 -1 46.8611 0
2.4932 -1.49684 946 1 45.0525 0
1.43851 -1.2234 1080 -1 32.5073 0
1.12601 -1.30152 1081 -1 45.1577 0
1.59476 -1.45777 1034 -1 48.7419 0
3.50882 -5.2859 1027 -1 50.3491 0
-2.03805 -1.41871 945 1 45.3281 0
1.79007 -1.37965 800 1 42.3053 0
1.47757 -1.30152 801 1 51.6948 0
1.51663 -5.2859 1045 -1 49.9932 0
1.59476 -3.13746 846 -1 49.332 0
2.10257 0.534415 848 -1 47.4946 0
1.59476 -1.34059 910 1 50.8594 0
1.63382 -0.559335 848 -1 47.9423 0
1.5557 -1.14527 843 -1 44.4075 0
-2.38962 -2.23902 952 1 48.7194 0
1.90726 -5.2859 963 1 48.8801 0
1.51663 -1.37965 878 -1 50.7283 0
0.557577 0.0880626 1434 -1 3.91371 0
0.401327 0.283375 1462 1 17.2732 0
0.44039 0.322438 1469 1 34.3004 0
0.401327 0.20525 1449 1 25.2522 0
0.713827 -0.0681874 1246 1 35.8756 0
0.674765 -1.31819 1251 1 29.5356 0
0.479452 -0.771312 1244 1 46.7609 0
1.18258 0.166188 1243 1 48.7384 0
2.78414 -0.302562 1233 1 42.412 0
0.44039 0.0880626 1039 -1 48.3169 0
0.479452 -0.302562 1105 1 33.9282 0
0.674765 -0.10725 1107 1 45.954 0
0.362265 0.0880626 1045 1 47.5689 0
1.02633 -0.8885 1097 1 37.9309 0
0.870077 -0.693187 1102 1 37.869 0
0.0107021 0.674 1347 1 43.5984 0
1.33883 0.869313 1270 1 45.9474 0
0.479452 1.96306 1269 1 48.3688 0
0.401327 0.439625 1310 -1 39.9868 0
0.362265 0.478688 1480 -1 39.1054 0
0.557577 0.0880626 1347 1 46.8091 0
-1.35649 0.0880626 1266 1 48.5157 0
-3.4268 0.0880626 1238 1 50.4292 0
0.59664 0.127125 1311 -1 50.0912 0
2.39351 0.0490001 1222 1 37.5809 0
0.479452 0.51775 1342 1 43.8391 0
0.401327 3.21306 1223 1 44.5159 0
0.479452 0.9865 1265 1 50.7173 0
0.518515 -0.0681874 1189 -1 50.0186 0
0.870077 3.799 1220 1 46.5905 0
1.2607 0.869313 1162 1 40.0478 0
1.5732 4.07244 1210 1 49.6583 0
3.68258 -0.10725 1376 1 45.6255 0
-0.301798 0.556813 1264 1 50.441 0
0.674765 -0.302562 1179 1 47.4092 0
