wellName,datasetName,TDEP,AvgCali,Azimuth,CenteredDepth,Colour,DipPiking_JK_TRU,HAzi,HDev,InfoArray,Quality,RES_BD_IMG_Azimuth,RES_BD_IMG_DipHeight,RES_BD_IMG_DipPiking_JK_APP,Shape,Type
,,ft,in,dega,ft,,dega,deg,deg,,,dega,ft,dega,,
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13380.8844990549,8.5,2.826685,13380.8844990549,#0000ff,48.17089,131.8511,88.6851,-9999,0.3823529,318.5722,1.27942629694537,61.02961,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13381.5839159731,8.5,0.8243884,13381.5839159731,#0000ff,50.12696,131.8432,88.68432,-9999,0.3055556,317.3838,1.16881543904556,58.78302,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.3670222609,8.5,19.07801,13382.3670222609,#0000ff,48.31168,131.834,88.68343,-9999,1,313.7079,2.21926033652532,72.29819,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13382.6823388327,8.5,6.659541,13382.6823388327,#0000ff,45.86001,131.8306,88.6831,-9999,0.3235294,319.4951,1.4903161786045,64.5787,0,NONE
48/19a-C2,DipJK,13383.1066789487,8.5,2.964528,13383.1066789487,#0000ff,48.95843,131.8258,88.68262,-9999,0.6,317.7054,1.2662390211683,60.77738,0,NONE
