phi1 phi2 depth orientation nfa octave
0.792946 -1.04727 3130 -1 42.7097 0
1.76951 -1.20352 3133 -1 50.1329 0
-5 -5 3603 -1 53.0105 0
-5 -4.80469 3435 -1 52.1485 0
-5 -5.54688 3593 -1 47.6959 0
-4.17969 -5.19531 3449 -1 50.8473 0
-5.03906 -5.39062 3492 -1 52.1829 0
1.2818 -1.26238 3870 -1 3.38522 0
1.32086 -1.34051 3849 1 7.27089 0
1.35993 -1.37957 3956 -1 11.0265 0
1.32086 -1.22332 3729 -1 20.8819 0
1.35993 -1.26238 3660 -1 25.2985 0
1.32086 -1.34051 3938 1 28.1338 0
1.12555 -1.30145 3768 -1 19.475 0
1.35993 -1.1452 3888 -1 32.3365 0
1.24274 -1.30145 3885 -1 41.1079 0
1.39899 -1.22332 3786 1 32.4217 0
1.20368 -1.41863 3563 -1 37.6982 0
1.16461 -1.30145 3905 1 36.5752 0
0.50055 -1.26238 3608 -1 34.3335 0
1.35993 -1.34051 3610 -1 45.3254 0
1.20368 -1.22332 3692 -1 34.6914 0
1.24274 -1.34051 3598 1 35.1765 0
1.47711 -1.34051 3640 -1 40.942 0
1.04743 -1.73113 3590 -1 38.6397 0
1.16461 -1.22332 3700 1 37.8106 0
1.2818 -1.26238 3718 1 44.0117 0
1.16461 -1.37957 3711 -1 41.2544 0
1.2818 -0.520196 3589 -1 45.1986 0
0.891175 -0.793634 3581 -1 47.7843 0
3.23493 -1.34051 3583 -1 52.545 0
0.891175 -1.18426 3620 -1 44.9562 0
1.67243 -1.57488 3921 -1 37.141 0
1.20368 -0.832696 3584 -1 49.9699 0
1.47711 -1.57488 3755 1 45.8036 0
0.9693 -1.37957 3808 1 44.0861 0
1.2818 -0.910821 3618 -1 50.9451 0
1.32086 2.40949 3580 -1 48.0606 0
-0.671325 2.72199 3619 -1 50.7544 0
1.39899 -1.34051 3588 -1 51.5537 0
1.24274 -1.37957 3804 1 48.0508 0
1.2818 -1.34051 3547 1 50.024 0
1.08649 -1.22332 3680 1 40.5688 0
1.55524 -1.34051 3924 -1 41.6077 0
0.734925 -1.34051 3744 1 45.4877 0
1.20368 -1.1452 3744 1 48.0202 0
3.19586 -1.30145 3683 1 50.6258 0
1.24274 2.56574 3756 1 48.9496 0
1.16461 2.6048 3811 1 49.478 0
2.18024 -1.26238 3801 -1 46.0353 0
1.08649 -1.30145 3824 1 47.3513 0
1.30114 -1.3996 3850 1 6.54563 0
1.30114 -1.3996 3986 1 10.321 0
1.30114 -1.24335 3870 -1 3.19381 0
1.18395 -1.3996 3867 -1 34.5449 0
1.18395 -1.59491 3870 -1 45.9607 0
1.37927 -1.3996 3956 -1 11.3677 0
1.10583 -1.59491 3955 -1 43.753 0
1.92614 -1.55585 4015 -1 16.6141 0
1.18395 -1.24335 4016 -1 32.6369 0
1.53552 -2.0246 4014 -1 36.4877 0
1.57458 0.319151 4016 -1 48.5162 0
0.402703 -1.59491 4026 -1 44.7795 0
3.2152 -2.0246 4020 -1 46.4695 0
1.10583 -1.0871 4021 -1 47.0579 0
1.41833 -1.55585 3941 1 19.3722 0
2.00427 -1.43866 3939 1 41.4881 0
1.22302 -2.37616 4013 -1 48.5735 0
1.18395 -1.51679 4043 -1 38.9775 0
1.45739 -1.20429 3890 -1 30.8038 0
1.18395 -1.55585 3888 -1 39.9283 0
3.13708 -1.59491 4012 -1 51.3103 0
1.41833 -1.3996 4084 1 46.7677 0
1.18395 -0.657412 4101 1 40.9796 0
1.18395 -1.47772 4101 1 49.0448 0
-0.0269845 0.00665056 4185 1 -47.5999 0
1.18395 -1.63397 4085 1 51.0259 0
-0.0269845 0.00665056 4191 1 -34.1406 0
0.285516 -0.735537 4191 1 43.1045 0
-0.573859 0.241026 4188 1 40.6671 0
0.012078 -0.0324119 4210 1 -8.57002 0
1.18395 -0.618349 4197 1 47.7317 0
-0.417609 -1.36054 4196 1 47.8352 0
-0.964484 -1.55585 4197 1 49.2365 0
1.37927 -1.43866 4202 1 48.4427 0
0.988641 -1.59491 4193 1 49.7075 0
1.14489 -1.67304 3897 1 43.4237 0
1.14489 -0.813662 3906 1 41.1141 0
1.41833 -1.59491 3913 1 48.3129 0
1.61364 2.31134 3904 1 50.8071 0
0.754266 -0.813662 3818 1 47.5685 0
1.18395 -1.79022 3911 1 49.5317 0
1.57458 -1.3996 3924 -1 39.3617 0
1.3402 -1.59491 3923 -1 46.8121 0
1.30114 -1.12616 4066 -1 39.7233 0
1.26208 -1.59491 3819 1 50.4519 0
1.10583 -1.00897 3810 1 42.1857 0
1.14489 -1.3996 3809 1 50.5931 0
1.14489 -1.36054 4056 1 39.7607 0
1.14489 -1.47772 4065 -1 47.9747 0
0.988641 -1.79022 3795 1 41.323 0
-2.68323 0.358213 4053 -1 48.1717 0
0.00978474 -0.00978474 4295 1 -42.7336 0
0.00978474 -0.00978474 4315 1 -41.51 0
0.00978474 -0.00978474 4305 1 -40.7234 0
0.00978474 -0.00978474 4253 1 -40.3853 0
0.00978474 -0.00978474 4269 1 -40.3689 0
0.00978474 -0.00978474 4282 1 -39.8467 0
0.00978474 -0.00978474 4234 1 -39.5999 0
0.00978474 -0.00978474 4338 1 -37.6289 0
0.00978474 -0.00978474 4331 1 -37.3236 0
0.00978474 -0.00978474 4354 1 -36.3578 0
0.00978474 -0.00978474 4215 1 -36.1351 0
0.00978474 -0.00978474 4209 1 -35.258 0
0.00978474 -0.00978474 4361 1 -35.0825 0
0.00978474 -0.00978474 4369 1 -34.0953 0
0.00978474 -0.00978474 4375 1 -33.219 0
0.00978474 -0.00978474 4223 1 -32.5925 0
0.00978474 -0.00978474 4382 1 -31.056 0
0.00978474 -0.00978474 4202 1 -30.7344 0
0.00978474 -0.00978474 4397 1 -28.2184 0
0.00978474 -0.00978474 4415 1 -23.5032 0
0.00978474 -0.00978474 4425 1 -20.8551 0
0.00978474 -0.00978474 4431 1 -18.6456 0
0.0488472 -0.0879097 4071 1 48.7768 0
0.0488472 0.185528 4021 1 50.8002 0
0.0488472 -0.00978474 4059 -1 52.6168 0
1.38928 -1.38943 658 -1 18.9014 1
1.31115 -1.23318 384 -1 17.3502 1
1.31115 -1.23318 602 -1 22.4304 1
1.4674 -1.31131 580 1 21.4167 1
1.38928 -1.31131 552 1 24.6469 1
1.4674 -1.38943 366 1 18.6614 1
1.38928 -1.31131 624 -1 27.1583 1
1.4674 -1.31131 332 -1 25.119 1
1.38928 -1.38943 462 1 27.5197 1
1.54553 -1.31131 274 1 25.5371 1
1.23303 -1.38943 242 -1 35.6275 1
1.23303 -1.23318 346 1 34.8758 1
